condition,label,reward,dataset_tag,dataset,split,method,repeat,seed,epochs,lr,config_path,result_path,status,original_wer,updated_wer,wer_delta,relative_delta_pct
fixed_reward_0.0,fixed conditioning reward 0.0,0.0,tedlium,tedlium,test,RewardConditionedMaskLMReward0,1,123456,1,1e-5,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward0/configs/tedlium_test_epoch1_lr1e-5.yaml,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward0/tedlium_test_epoch1_lr1e-5.txt,complete,0.085345,0.079320,-0.006025,-7.06
fixed_reward_0.0,fixed conditioning reward 0.0,0.0,tedlium,tedlium,test,RewardConditionedMaskLMReward0,1,123456,5,1e-5,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward0/configs/tedlium_test_epoch5_lr1e-5.yaml,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward0/tedlium_test_epoch5_lr1e-5.txt,complete,0.085345,0.074712,-0.010633,-12.46
fixed_reward_0.0,fixed conditioning reward 0.0,0.0,tedlium,tedlium,test,RewardConditionedMaskLMReward0,2,123457,1,1e-5,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward0/configs/tedlium_test_epoch1_lr1e-5_repeat2.yaml,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward0/tedlium_test_epoch1_lr1e-5_repeat2.txt,complete,0.085345,0.078646,-0.006699,-7.85
fixed_reward_0.0,fixed conditioning reward 0.0,0.0,tedlium,tedlium,test,RewardConditionedMaskLMReward0,2,123457,5,1e-5,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward0/configs/tedlium_test_epoch5_lr1e-5_repeat2.yaml,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward0/tedlium_test_epoch5_lr1e-5_repeat2.txt,complete,0.085345,0.075563,-0.009782,-11.46
fixed_reward_0.0,fixed conditioning reward 0.0,0.0,tedlium,tedlium,test,RewardConditionedMaskLMReward0,3,123458,1,1e-5,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward0/configs/tedlium_test_epoch1_lr1e-5_repeat3.yaml,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward0/tedlium_test_epoch1_lr1e-5_repeat3.txt,complete,0.085345,0.079213,-0.006131,-7.18
fixed_reward_0.0,fixed conditioning reward 0.0,0.0,tedlium,tedlium,test,RewardConditionedMaskLMReward0,3,123458,5,1e-5,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward0/configs/tedlium_test_epoch5_lr1e-5_repeat3.yaml,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward0/tedlium_test_epoch5_lr1e-5_repeat3.txt,complete,0.085345,0.075669,-0.009676,-11.34
fixed_reward_0.0,fixed conditioning reward 0.0,0.0,earnings22,earnings22,test,RewardConditionedMaskLMReward0,1,123456,1,1e-5,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward0/configs/earnings22_test_epoch1_lr1e-5.yaml,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward0/earnings22_test_epoch1_lr1e-5.txt,complete,0.235218,0.202091,-0.033127,-14.08
fixed_reward_0.0,fixed conditioning reward 0.0,0.0,earnings22,earnings22,test,RewardConditionedMaskLMReward0,1,123456,5,1e-5,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward0/configs/earnings22_test_epoch5_lr1e-5.yaml,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward0/earnings22_test_epoch5_lr1e-5.txt,complete,0.235239,0.185201,-0.050038,-21.27
fixed_reward_0.0,fixed conditioning reward 0.0,0.0,earnings22,earnings22,test,RewardConditionedMaskLMReward0,2,123457,1,1e-5,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward0/configs/earnings22_test_epoch1_lr1e-5_repeat2.yaml,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward0/earnings22_test_epoch1_lr1e-5_repeat2.txt,complete,0.235239,0.203725,-0.031514,-13.40
fixed_reward_0.0,fixed conditioning reward 0.0,0.0,earnings22,earnings22,test,RewardConditionedMaskLMReward0,2,123457,5,1e-5,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward0/configs/earnings22_test_epoch5_lr1e-5_repeat2.yaml,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward0/earnings22_test_epoch5_lr1e-5_repeat2.txt,complete,0.235198,0.184895,-0.050303,-21.39
