method,table_method,dataset_tag,dataset,dataset_label,split,epochs,lr,repeat,seed,config_path,result_path,status,result_id,original_wer,updated_wer,wer_delta,relative_delta_pct
RMM,RMM,rev16,rev16,Rev16,test,5,1e-5,3,323456,exp/results/repro/learnt_augmentation_repeats/rob337/RMM/configs/rev16_epoch5_lr1e-5_repeat3.yaml,exp/results/repro/learnt_augmentation_repeats/rob337/RMM/rev16_epoch5_lr1e-5_repeat3.txt,complete,ROB-337-rev16-test-RMM-epoch5-lr1e-5-repeat3-seed323456,0.172575613,0.160498997,-0.012076616,-7.00
RMM,RMM,TAL,this_american_life,TAL,test,1,1e-5,1,123456,exp/results/repro/RMM/configs/TAL_epoch1_lr1e-5.yaml,exp/results/repro/RMM/TAL_epoch1_lr1e-5.txt,complete,ROB-108-this_american_life-test-RMM-TAL_epoch1_lr1e-5-repeat1,0.165691150,0.159962107,-0.005729043,-3.46
RMM,RMM,TAL,this_american_life,TAL,test,1,1e-5,2,223456,exp/results/repro/learnt_augmentation_repeats/rob337/RMM/configs/TAL_epoch1_lr1e-5_repeat2.yaml,exp/results/repro/learnt_augmentation_repeats/rob337/RMM/TAL_epoch1_lr1e-5_repeat2.txt,complete,ROB-337-TAL-test-RMM-epoch1-lr1e-5-repeat2-seed223456,0.165685512,0.159716818,-0.005968693,-3.60
RMM,RMM,TAL,this_american_life,TAL,test,1,1e-5,3,323456,exp/results/repro/learnt_augmentation_repeats/rob337/RMM/configs/TAL_epoch1_lr1e-5_repeat3.yaml,exp/results/repro/learnt_augmentation_repeats/rob337/RMM/TAL_epoch1_lr1e-5_repeat3.txt,complete,ROB-337-TAL-test-RMM-epoch1-lr1e-5-repeat3-seed323456,0.165691150,0.160080522,-0.005610628,-3.39
RMM,RMM,TAL,this_american_life,TAL,test,5,1e-5,1,123456,exp/results/repro/RMM/configs/TAL_epoch5_lr1e-5.yaml,exp/results/repro/RMM/TAL_epoch5_lr1e-5.txt,complete,ROB-108-this_american_life-test-RMM-TAL_epoch5_lr1e-5-repeat1,0.165702428,0.155484882,-0.010217546,-6.17
RMM,RMM,TAL,this_american_life,TAL,test,5,1e-5,2,223456,exp/results/repro/learnt_augmentation_repeats/rob337/RMM/configs/TAL_epoch5_lr1e-5_repeat2.yaml,exp/results/repro/learnt_augmentation_repeats/rob337/RMM/TAL_epoch5_lr1e-5_repeat2.txt,complete,ROB-337-TAL-test-RMM-epoch5-lr1e-5-repeat2-seed223456,0.165691150,0.156136166,-0.009554984,-5.77
RMM,RMM,TAL,this_american_life,TAL,test,5,1e-5,3,323456,exp/results/repro/learnt_augmentation_repeats/rob337/RMM/configs/TAL_epoch5_lr1e-5_repeat3.yaml,exp/results/repro/learnt_augmentation_repeats/rob337/RMM/TAL_epoch5_lr1e-5_repeat3.txt,complete,ROB-337-TAL-test-RMM-epoch5-lr1e-5-repeat3-seed323456,0.165685512,0.156029029,-0.009656483,-5.83
RMM,RMM,chime6,chime6,CHiME-6,test,1,1e-5,1,123456,exp/results/repro/RMM/configs/chime6_epoch1_lr1e-5.yaml,exp/results/repro/RMM/chime6_epoch1_lr1e-5.txt,complete,ROB-108-chime6-test-RMM-chime6_epoch1_lr1e-5-repeat1,0.843620021,0.831670779,-0.011949242,-1.42
RMM,RMM,chime6,chime6,CHiME-6,test,1,1e-5,2,223456,exp/results/repro/learnt_augmentation_repeats/rob337/RMM/configs/chime6_epoch1_lr1e-5_repeat2.yaml,exp/results/repro/learnt_augmentation_repeats/rob337/RMM/chime6_epoch1_lr1e-5_repeat2.txt,complete,ROB-337-chime6-test-RMM-epoch1-lr1e-5-repeat2-seed223456,0.843620021,0.836852309,-0.006767712,-0.80
RMM,RMM,chime6,chime6,CHiME-6,test,1,1e-5,3,323456,exp/results/repro/learnt_augmentation_repeats/rob337/RMM/configs/chime6_epoch1_lr1e-5_repeat3.yaml,exp/results/repro/learnt_augmentation_repeats/rob337/RMM/chime6_epoch1_lr1e-5_repeat3.txt,complete,ROB-337-chime6-test-RMM-epoch1-lr1e-5-repeat3-seed323456,0.843584773,0.803524850,-0.040059922,-4.75
RMM,RMM,chime6,chime6,CHiME-6,test,5,1e-5,1,123456,exp/results/repro/RMM/configs/chime6_epoch5_lr1e-5.yaml,exp/results/repro/RMM/chime6_epoch5_lr1e-5.txt,complete,ROB-108-chime6-test-RMM-chime6_epoch5_lr1e-5-repeat1,0.843620021,1.000000000,0.156379979,18.54
RMM,RMM,chime6,chime6,CHiME-6,test,5,1e-5,2,223456,exp/results/repro/learnt_augmentation_repeats/rob337/RMM/configs/chime6_epoch5_lr1e-5_repeat2.yaml,exp/results/repro/learnt_augmentation_repeats/rob337/RMM/chime6_epoch5_lr1e-5_repeat2.txt,complete,ROB-337-chime6-test-RMM-epoch5-lr1e-5-repeat2-seed223456,0.843637645,1.000000000,0.156362355,18.53
RMM,RMM,chime6,chime6,CHiME-6,test,5,1e-5,3,323456,exp/results/repro/learnt_augmentation_repeats/rob337/RMM/configs/chime6_epoch5_lr1e-5_repeat3.yaml,exp/results/repro/learnt_augmentation_repeats/rob337/RMM/chime6_epoch5_lr1e-5_repeat3.txt,complete,ROB-337-chime6-test-RMM-epoch5-lr1e-5-repeat3-seed323456,0.843620021,1.000000000,0.156379979,18.54
UVQLM,UC-MLM,tedlium,tedlium,TED-LIUM,test,1,1e-5,1,123456,exp/results/repro/UVQLM/configs/tedlium_epoch1_lr1e-5.yaml,exp/results/repro/UVQLM/tedlium_epoch1_lr1e-5.txt,complete,ROB-108-tedlium-test-UVQLM-tedlium_epoch1_lr1e-5-repeat1,0.085344675,0.076767677,-0.008576998,-10.05
